Municipio del hecho DANE,Departamento del hecho DANE,total_casos,ratio_masculino,años_activos,cluster
roberto payán,nariño,19,0.0,6,1
roldanillo,valle del cauca,181,0.0,10,0
roncesvalles,tolima,7,0.0,5,1
rosas,cauca,38,0.0,10,0
rovira,tolima,125,0.0,10,0
ráquira,boyacá,7,0.0,5,1
río de oro,cesar,50,0.0,10,0
río quito,chocó,28,0.0,8,0
río viejo,bolívar,21,0.0,8,0
sabana de torres,santander,75,0.0,10,0
sabanagrande,atlántico,48,0.0,10,0
sabanalarga,antioquia,29,0.0,10,0
sabanalarga,atlántico,125,0.0,10,0
sabanas de san ángel,magdalena,11,0.0,7,1
sabaneta,antioquia,54,0.0,10,0
saboyá,boyacá,5,0.0,3,1
sahagún,córdoba,123,0.0,9,0
saladoblanco,huila,35,0.0,9,0
salamina,caldas,20,0.0,9,0
salazar,norte de santander,9,0.0,5,1
saldaña,tolima,24,0.0,10,0
salento,quindío,21,0.0,8,0
salgar,antioquia,160,0.0,10,0
samacá,boyacá,20,0.0,10,0
samaniego,nariño,75,0.0,10,0
samaná,caldas,27,0.0,8,0
sampués,sucre,72,0.0,9,0
san agustín,huila,53,0.0,10,0
san alberto,cesar,46,0.0,10,0
san andres de tumaco,nariño,131,0.0,1,1
san andrés,"archipiélago de san andrés, providencia y santa catalina",270,0.0,10,0
san andrés,santander,7,0.0,6,1
san andrés de cuerquía,antioquia,53,0.0,10,0
san andrés de sotavento,córdoba,8,0.0,6,1
san andrés de tumaco,nariño,1595,0.0,9,3
san antero,córdoba,85,0.0,10,0
san antonio,tolima,33,0.0,8,0
san antonio del tequendama,cundinamarca,14,0.0,6,1
san benito abad,sucre,36,0.0,10,0
san bernardo,cundinamarca,5,0.0,4,1
san bernardo,nariño,6,0.0,4,1
san bernardo del viento,córdoba,30,0.0,9,0
san calixto,norte de santander,27,0.0,9,0
san carlos,antioquia,48,0.0,9,0
san carlos,córdoba,34,0.0,8,0
san carlos de guaroa,meta,28,0.0,10,0
san cayetano,norte de santander,16,0.0,8,0
san diego,cesar,36,0.0,10,0
san estanislao,bolívar,10,0.0,6,1
san fernando,bolívar,5,0.0,5,1
san francisco,antioquia,26,0.0,8,0
san francisco,cundinamarca,15,0.0,7,1
san gil,santander,32,0.0,10,0
san jacinto,bolívar,37,0.0,7,1
san jacinto del cauca,bolívar,10,0.0,6,1
san jerónimo,antioquia,78,0.0,10,0
san josé,caldas,6,0.0,5,1
san josé de la montaña,antioquia,8,0.0,5,1
san josé de uré,córdoba,73,0.0,8,0
san josé del fragua,caquetá,97,0.0,9,0
san josé del guaviare,guaviare,188,0.0,10,0
san josé del palmar,chocó,63,0.0,9,0
san juan de arama,meta,24,0.0,9,0
san juan de betulia,sucre,26,0.0,8,0
san juan de rioseco,cundinamarca,6,0.0,5,1
san juan de urabá,antioquia,6,0.0,3,1
san juan del cesar,la guajira,65,0.0,10,0
san juan nepomuceno,bolívar,26,0.0,9,0
